"id","name","email","gender","semester","branch","dateOfBirth","fingerprint","createdAt","updatedAt"
"VU4F1920001","Bunty Holkar","bunty@gmail.com","Female","1","Artificial Intelligence & Data Science","2001-06-05","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920002","Ramayan Malhotra","ramayan@gmail.com","Male","8","Information Technology","1999-11-12","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920003","Chandramauli Dave","chandramauli@gmail.com","Female","8","Artificial Intelligence & Data Science","2000-04-18","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920004","Seeta Som","seeta@gmail.com","Male","4","Computer","1999-12-01","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920005","Apoorv Bishnoi","apoorv@gmail.com","Male","8","Information Technology","2000-06-01","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920006","Aishwarya Batra","aishwarya@gmail.com","Female","4","Artificial Intelligence & Data Science","2000-11-22","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920007","Amrit Ambedkar","amrit@gmail.com","Female","7","Electronics & Telecommunication","2001-06-15","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920008","Konkana Shaw","konkana@gmail.com","Female","7","Information Technology","2000-01-22","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920009","Mandavi Puri","mandavi@gmail.com","Male","5","Computer","2001-01-10","http://www.example.com","2022-10-01","2022-10-01"
"VU4F19200010","Tripurari Deshmukh","tripurari@gmail.com","Male","3","Computer","2002-10-26","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920011","Pramad Reddy","pramad@gmail.com","Female","2","Information Technology","1999-09-16","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920012","Ashirwad Deewan","ashirwad@gmail.com","Male","8","Electronics & Telecommunication","1999-09-25","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920013","Sakshi Tagore","sakshi@gmail.com","Male","3","Computer","2002-07-10","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920014","Anuja Baghel","anuja@gmail.com","Female","4","Information Technology","1999-01-12","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920015","Tushar Arora","tushar@gmail.com","Male","6","Information Technology","2000-12-09","http://www.example.com","2022-10-01","2022-10-01"
